direccion,localidad,latitud,longitud
"MATANZA, Avellaneda, Buenos Aires",Avellaneda,-34.7117552283856,-58.345368398374546
"4171 GUTENBERG 1500, San Miguel, Buenos Aires",San Miguel,-34.5350826134278,-58.7243986095525
"3192 F AMEGHINO 800, San Miguel, Buenos Aires",San Miguel,-34.56977764647745,-58.69202248611699
"EMILIO ZOLA 5826, Avellaneda, Buenos Aires",Avellaneda,-34.69705228527189,-58.31735950024203
"GRL OTERO, Avellaneda, Buenos Aires",Avellaneda,-34.68864820085065,-58.329068936495695
"CNL LACARRA 127, Avellaneda, Buenos Aires",Avellaneda,-34.6703793837058,-58.35666520919901
"4149 ESPANA 1500, San Miguel, Buenos Aires",San Miguel,-34.54949852560319,-58.72487674396867
"4170 LEANDRO N ALEM 2400, San Miguel, Buenos Aires",San Miguel,-34.53617567793245,-58.72290708329611
"CNL BRANDSEN 3083, Avellaneda, Buenos Aires",Avellaneda,-34.68246141781883,-58.34707994291093
"RICARDO GUTIERREZ 1900, Avellaneda, Buenos Aires",Avellaneda,-34.6663487121291,-58.3484099872857
"CNL BRANDSEN 5600, Avellaneda, Buenos Aires",Avellaneda,-34.6987669829621,-58.3266326375907
"GRL PIRAN 300, Avellaneda, Buenos Aires",Avellaneda,-34.6985631565621,-58.3176070752288
"SAN NICOLAS 5800, Avellaneda, Buenos Aires",Avellaneda,-34.6919238993643,-58.3132785050592
"3192 F AMEGHINO 900, San Miguel, Buenos Aires",San Miguel,-34.5699004747182,-58.6918528463116
"PAYSANDU 1700, Avellaneda, Buenos Aires",Avellaneda,-34.7171488189381,-58.3360593883336
"CATAMARCA 2000, Avellaneda, Buenos Aires",Avellaneda,-34.6763107934689,-58.3876515941824
"GRL HEREDIA 5700, Avellaneda, Buenos Aires",Avellaneda,-34.7106139382459,-58.3353608119911
"GDOR MIGUEL DE SALCEDO 100, Avellaneda, Buenos Aires",Avellaneda,-34.7058965743181,-58.3154286320975
"LAVARELLO 485, Avellaneda, Buenos Aires",Avellaneda,-34.681566318968606,-58.35036807600452
"AV GENERAL GUEMES 500, Avellaneda, Buenos Aires",Avellaneda,-34.6716838534533,-58.3597151951558
"CANGALLO 815, Avellaneda, Buenos Aires",Avellaneda,-34.68621838440956,-58.375415011483874
