direccion,localidad,latitud,longitud,latitud_verificada,longitud_verificada,Distancia,Estan cerca
"237 PATRICIOS 400, Quilmes, Buenos Aires",Quilmes,-34.708160888659,-58.2647471240232,-34.70998398360919,-58.268850248544354,426.84,No
"CALLE 122 GRL ROCA 3900, General San Martín, Buenos Aires",General San Martín,-34.5564369312151,-58.5668182782156,-34.5562796023699,-58.56689026895214,18.66,Si
"RANCHOS 1600, Morón, Buenos Aires",Morón,-34.6457169157465,-58.62979422354,-34.6455997349856,-58.62973653135543,14.03,Si
"12 ALSINA 100, Quilmes, Buenos Aires",Quilmes,-34.7222331554736,-58.2597158881103,-34.722178690123414,-58.259720431351454,6.06,Si
"DR MARIANO MORENO 1500, Vicente López, Buenos Aires",Vicente López,-34.499052533099686,-58.49747536384576,-34.49932521120081,-58.497820460198746,43.81,Si
"ITUZAINGO 300, Luján, Buenos Aires",Luján,-34.5682406524823,-59.1193927810945,-34.56807191807039,-59.11919648903069,25.98,Si
"BELGRANO 2100, San Fernando, Buenos Aires",San Fernando,-34.44937244411576,-58.55062246594373,-34.44920465820792,-58.550653377393544,18.83,Si
"CALLE 54 1576, La Plata, Buenos Aires",La Plata,-34.935041056650505,-57.967149978159554,-34.93505715367856,-57.967137789011836,2.10,Si
"AV GDOR VERGARA 2463, Hurlingham, Buenos Aires",Hurlingham,-34.61364040158499,-58.63451381964711,-34.61343379520994,-58.634454663892036,23.55,Si
"FELIX FRIAS 2500, Hurlingham, Buenos Aires",Hurlingham,-34.6027195156476,-58.6367470908558,-34.6031111633598,-58.63743586389262,76.68,Si
"CALLE 61 LACROZE 5115, General San Martín, Buenos Aires",General San Martín,-34.54664847632901,-58.55596191804494,-34.54631738110748,-58.55597406389544,36.75,Si
"CALLE 79 ARISTOBULO DEL VALLE 4851, General San Martín, Buenos Aires",General San Martín,-34.554388646207265,-58.55987525954366,-34.55421946682352,-58.55972256019583,23.42,Si
"LOS CRISANTEMOS 400, Pilar, Buenos Aires",Pilar,-34.430783283661405,-58.78566336301925,-34.43606183188628,-58.79723578764455,1214.18,No
"MADARIAGA J GRL 750, Esteban Echeverría, Buenos Aires",Esteban Echeverría,-34.80922654359835,-58.44562683587255,-34.81107977971013,-58.44366193134707,273.11,No
"PUNTA LARA 266, Mar Chiquita, Buenos Aires",Santa Clara del Mar,-37.83751973044875,-57.50367230968616,-37.83750450189813,-57.5039031195409,20.39,Si
"CAP CLAUDIO N ROSALES 444, Esteban Echeverría, Buenos Aires",Esteban Echeverría,-34.80441036773388,-58.442351110602104,-34.805471638419604,-58.4412145755255,157.09,Si
"C - SANTIAGO DEL ESTERO (ESQUINA C BUENOS AIRES), Tigre, Buenos Aires",Tigre,-34.4579434704342,-58.6327389815431,-34.45777099174576,-58.632727162050436,19.16,Si
"CHACABUCO 856, Vicente López, Buenos Aires",Vicente López,-34.532654670367876,-58.48443657736215,-34.53211122645095,-58.48497681786831,78.06,Si
"CALLE 48 633, La Plata, Buenos Aires",La Plata,-34.91404501791735,-57.951583759465414,-34.91404732214143,-57.952164492712036,53.07,Si
"CALLE 23 (ENTRE CALLE 18 Y CALLE 20), La Costa, Buenos Aires",Las Toninas,-36.48290229003125,-56.7056045083597,-36.48301587068181,-56.705563926173,13.12,Si
"CALLE 17 700, La Costa, Buenos Aires",Las Toninas,-36.4819618479271,-56.7024547869326,-36.48192400197653,-56.702531204272404,8.03,Si
"CALLE 531 268, La Plata, Buenos Aires",La Plata,-34.89065977386191,-57.96016976136618,-34.89096276977386,-57.96026236017845,34.66,Si
